experiment_name,run_id,algorithm,domain,instance,seed,status,stop_reason,initial_objective,best_objective,final_objective,runtime_seconds,objective_evaluations,iterations,parameters,error_message
tsp_berlin52_tabu_search,tabu_search_run_001,tabu_search,tsp,berlin52,1000,completed,evaluation_budget_exhausted,10072.0,7655.0,7655.0,4.788865000000442,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_002,tabu_search,tsp,berlin52,1001,completed,evaluation_budget_exhausted,9583.0,7947.0,7947.0,4.878173000000061,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_003,tabu_search,tsp,berlin52,1002,completed,evaluation_budget_exhausted,9091.0,7567.0,7567.0,4.789855999999418,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_004,tabu_search,tsp,berlin52,1003,completed,evaluation_budget_exhausted,9498.0,7811.0,7811.0,4.694966199999726,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_005,tabu_search,tsp,berlin52,1004,completed,evaluation_budget_exhausted,8206.0,7750.0,7750.0,4.772347899999659,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_006,tabu_search,tsp,berlin52,1005,completed,evaluation_budget_exhausted,8848.0,7668.0,7668.0,4.877873600000385,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_007,tabu_search,tsp,berlin52,1006,completed,evaluation_budget_exhausted,9395.0,7950.0,7950.0,4.800397599999997,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_008,tabu_search,tsp,berlin52,1007,completed,evaluation_budget_exhausted,9708.0,7969.0,7969.0,4.730457200000274,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_009,tabu_search,tsp,berlin52,1008,completed,evaluation_budget_exhausted,9220.0,7642.0,7642.0,4.698001099999601,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_010,tabu_search,tsp,berlin52,1009,completed,evaluation_budget_exhausted,8206.0,7635.0,7635.0,4.751214300000356,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_011,tabu_search,tsp,berlin52,1010,completed,evaluation_budget_exhausted,9013.0,7767.0,7767.0,4.910091300000204,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_012,tabu_search,tsp,berlin52,1011,completed,evaluation_budget_exhausted,9323.0,7675.0,7675.0,4.803415200000018,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_013,tabu_search,tsp,berlin52,1012,completed,evaluation_budget_exhausted,9214.0,7646.0,7646.0,4.775343199999952,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_014,tabu_search,tsp,berlin52,1013,completed,evaluation_budget_exhausted,9504.0,7863.0,7863.0,4.73056859999997,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_015,tabu_search,tsp,berlin52,1014,completed,evaluation_budget_exhausted,8953.0,7591.0,7591.0,4.855300299999726,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_016,tabu_search,tsp,berlin52,1015,completed,evaluation_budget_exhausted,8864.0,7702.0,7702.0,4.904426199999762,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_017,tabu_search,tsp,berlin52,1016,completed,evaluation_budget_exhausted,9137.0,7698.0,7698.0,4.848241199999393,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_018,tabu_search,tsp,berlin52,1017,completed,evaluation_budget_exhausted,10010.0,7985.0,7985.0,4.885538599999563,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
tsp_berlin52_tabu_search,tabu_search_run_019,tabu_search,tsp,berlin52,1018,completed,evaluation_budget_exhausted,9583.0,8066.0,8066.0,4.878193200000169,100000,1000,"{""candidate_list_size"": 100, ""operators"": [""two_opt"", ""two_opt"", ""inversion"", ""insertion"", ""swap""], ""tabu_tenure"": 15}",
